;alpha_1_1_2_d1cg5b_.keys;alpha_1_1_0_d1x46a_.keys;alpha_1_1_2_d1ecaa_.keys;alpha_1_1_0_d2ig3a_.keys;alpha_1_1_0_d2zs0c_.keys;alpha_1_1_0_d2zs0b_.keys;alpha_1_1_0_d2bk9a_.keys;alpha_1_1_2_d1gcva_.keys;alpha_1_1_2_d1cqxa1.keys;alpha_1_1_0_d2zs0d_.keys;alpha_1_1_0_d3ubca_.keys;alpha_1_1_2_d1asha_.keys;alpha_1_1_0_d2zs0a_.keys;alpha_1_1_0_d1x3ka_.keys;alpha_1_1_0_d2c0ka_.keys;alpha_1_1_2_d1h97a_.keys;alpha_1_1_0_d2wtga_.keys;alpha_1_1_0_d2wy4a_.keys;alpha_1_1_0_d3pt8a_.keys;alpha_1_1_2_d1b0ba_.keys
alpha_1_1_2_d1cg5b_.keys;1.000000000000;;;;;;;;;;;;;;;;;;;
alpha_1_1_0_d1x46a_.keys;0.442110498144;1.000000000000;;;;;;;;;;;;;;;;;;
alpha_1_1_2_d1ecaa_.keys;0.421213064984;0.490091195612;1.000000000000;;;;;;;;;;;;;;;;;
alpha_1_1_0_d2ig3a_.keys;0.412728747542;0.408170094074;0.397100273501;1.000000000000;;;;;;;;;;;;;;;;
alpha_1_1_0_d2zs0c_.keys;0.304854070086;0.33907150847;0.290265538929;0.313187914233;1.000000000000;;;;;;;;;;;;;;;
alpha_1_1_0_d2zs0b_.keys;0.478547070035;0.450362391761;0.419396374184;0.436198873377;0.331763799443;1.000000000000;;;;;;;;;;;;;;
alpha_1_1_0_d2bk9a_.keys;0.331296060673;0.360996084668;0.33615162634;0.380381426526;0.412286403225;0.358757909238;1.000000000000;;;;;;;;;;;;;
alpha_1_1_2_d1gcva_.keys;0.342197388617;0.377839635511;0.359047875945;0.261280599831;0.228544460613;0.378912733161;0.234722630821;1.000000000000;;;;;;;;;;;;
alpha_1_1_2_d1cqxa1.keys;0.357560361084;0.354318479197;0.371871610912;0.255614005457;0.221755055322;0.35317092401;0.23626229544;0.508802834325;1.000000000000;;;;;;;;;;;
alpha_1_1_0_d2zs0d_.keys;0.261661358088;0.304757398643;0.262606438036;0.203847261664;0.147204157747;0.258742945661;0.15642671502;0.423806611802;0.429927607599;1.000000000000;;;;;;;;;;
alpha_1_1_0_d3ubca_.keys;0.310176415993;0.370214100035;0.345337540686;0.225801023234;0.191130751116;0.281409847354;0.215034744813;0.430147142263;0.411250864827;0.389775090835;1.000000000000;;;;;;;;;
alpha_1_1_2_d1asha_.keys;0.528449040041;0.43271073721;0.41087494453;0.370085026399;0.321117829229;0.463572241569;0.335923823564;0.364813773869;0.359775971179;0.263665042387;0.306926823736;1.000000000000;;;;;;;;
alpha_1_1_0_d2zs0a_.keys;0.331742233292;0.356296401423;0.385571961792;0.316552678179;0.397505538918;0.370988124714;0.40031797942;0.314180830378;0.303332916263;0.179023532234;0.265676536224;0.359105930703;1.000000000000;;;;;;;
alpha_1_1_0_d1x3ka_.keys;0.374963658263;0.371823867439;0.366984325895;0.464686218358;0.328862409932;0.455922115328;0.367058689035;0.275941527572;0.2600944836;0.19012271459;0.207190845208;0.364131888542;0.345145793426;1.000000000000;;;;;;
alpha_1_1_0_d2c0ka_.keys;0.342968855824;0.432145570204;0.328324550764;0.270532897986;0.260130079383;0.335526363617;0.264491244027;0.351734089799;0.337264891246;0.307525565057;0.34460798049;0.37608507618;0.280105896271;0.26545883134;1.000000000000;;;;;
alpha_1_1_2_d1h97a_.keys;0.401404516907;0.451135099827;0.43075968788;0.424258470837;0.34415374677;0.444431631447;0.359655264057;0.342090860956;0.286801959802;0.223872904566;0.265961226416;0.407366772241;0.432918022517;0.40380792654;0.323876589493;1.000000000000;;;;
alpha_1_1_0_d2wtga_.keys;0.350355502;0.428534411277;0.369330729389;0.342386467537;0.333725808859;0.406555781048;0.409034843841;0.32430909561;0.290814819884;0.23521160906;0.285806046699;0.364000979732;0.3781761918;0.342797225966;0.319632976629;0.38341807588;1.000000000000;;;
alpha_1_1_0_d2wy4a_.keys;0.441188060217;0.476096009041;0.428824085053;0.34352053979;0.305530921001;0.373233175877;0.313197806044;0.331416568733;0.30838723919;0.243426091055;0.349439146045;0.422710349418;0.330751901356;0.311561649562;0.422358588186;0.389162498458;0.329496076539;1.000000000000;;
alpha_1_1_0_d3pt8a_.keys;0.347744390666;0.409551387072;0.383822428016;0.329917825436;0.247059819206;0.360752580363;0.309542575672;0.341688786836;0.300320687773;0.235079901934;0.329737546987;0.356488631633;0.379763190602;0.367981493044;0.300196561891;0.423559709464;0.357454256857;0.354531081941;1.000000000000;
alpha_1_1_2_d1b0ba_.keys;0.37246588198;0.439568438246;0.403572945194;0.40610770086;0.337641214998;0.40386937832;0.396450827007;0.278262480074;0.236797370451;0.177883277902;0.270362194567;0.383016555673;0.378752062729;0.416701378693;0.297252571975;0.44820816745;0.409519706916;0.415575052358;0.448591055194;1.000000000000
